COMPANY NAME,SECURITY TYPE,Symbol_x,ISSUE START DATE,ISSUE END DATE,Issue_price_Upper_Limit,Issue_price_Lower_Limit,ISSUE_Price_RANGE,Listing Date,Issue Amount (Rs.cr.),Market Cap (IPO) (Rs.cr.),Market Cap on Close Price on Listing (Rs.cr.),% Gain / loss on Listing,Wealth creation w.r.t. Close Price on Listing (%),Opening Date,Issue Price (Rs.),QIB,NII,RII,TOTAL,Open Price on Listing (Rs.),Close Price on Listing (Rs.),% Gain / Loss (Issue price v/s Close price on Listing),ISSUE_START_Nifty_OPEN,ISSUE_START_Nifty_CLOSE,ISSUE_START_Nifty_HIGH,ISSUE_START_Nifty_LOW,ISSUE_END_Nifty_OPEN,ISSUE_END_Nifty_CLOSE,ISSUE_END_Nifty_HIGH,ISSUE_END_Nifty_LOW
INDO FARM EQUIPMENT,EQ,INDOFARM,2024-12-31,2025-01-02,215,204,11,2025-01-07,260.15,1033.11,1334.87,29.21,-31.35,2024-12-31,215.0,97.11,498.49,102.57,159.23,276.44,277.8,29.21,23560.6,23644.8,23689.85,23460.45,23783.0,24188.65,24226.7,23751.55
UNIMECH AEROSPACE AND MANUFACTURING,EQ,UNIMECH,2024-12-23,2024-12-26,785,745,40,2024-12-31,500.0,3992.27,6999.18,75.32,-31.39,2024-12-23,785.0,133.73,275.23,57.86,128.02,1460.0,1376.25,75.32,23738.2,23753.45,23869.55,23647.2,23775.8,23750.2,23854.5,23653.6
CARRARO INDIA,EQ,CARRARO,2024-12-20,2024-12-24,704,668,36,2024-12-30,1250.0,4002.35,3616.89,-9.63,-14.63,2024-12-20,704.0,1.56,0.59,0.72,1.12,651.0,636.2,-9.63,23960.7,23587.5,24065.8,23537.35,23769.1,23727.65,23867.65,23685.15
SENORES PHARMACEUTICALS,EQ,SENORES,2024-12-20,2024-12-24,391,372,19,2024-12-30,582.11,1800.7,2568.87,42.66,40.93,2024-12-20,391.0,40.12,98.1,94.87,54.02,593.7,557.8,42.66,23960.7,23587.5,24065.8,23537.35,23769.1,23727.65,23867.65,23685.15
VENTIVE HOSPITALITY,EQ,VENTIVE,2024-12-20,2024-12-24,643,610,33,2024-12-30,1600.0,15016.7,16449.47,9.54,0.7,2024-12-20,643.0,4.43,14.54,6.19,6.12,716.0,704.35,9.54,23960.7,23587.5,24065.8,23537.35,23769.1,23727.65,23867.65,23685.15
TRANSRAIL LIGHTING,EQ,TRANSRAILL,2024-12-19,2024-12-23,432,410,22,2024-12-27,838.91,5799.86,7431.74,28.14,5.57,2024-12-19,432.0,79.49,78.1,23.08,58.2,590.0,553.55,28.14,23877.15,23951.7,24004.9,23870.3,23738.2,23753.45,23869.55,23647.2
DAM CAPITAL ADVISORS,EQ,DAMCAPITAL,2024-12-19,2024-12-23,283,269,14,2024-12-27,840.25,2000.41,2934.18,46.68,-48.86,2024-12-19,283.0,67.08,98.1,27.22,57.65,393.0,415.1,46.68,23877.15,23951.7,24004.9,23870.3,23738.2,23753.45,23869.55,23647.2
CONCORD ENVIRO SYSTEMS,EQ,CEWATER,2024-12-19,2024-12-23,701,665,36,2024-12-27,500.33,1450.81,1711.79,17.99,-49.29,2024-12-19,701.0,7.39,14.4,5.68,7.84,826.0,827.1,17.99,23877.15,23951.7,24004.9,23870.3,23738.2,23753.45,23869.55,23647.2
SANATHAN TEXTILES,EQ,SANATHAN,2024-12-19,2024-12-23,321,305,16,2024-12-27,550.0,2709.37,3277.83,20.98,15.89,2024-12-19,321.0,32.51,44.26,9.3,26.15,422.3,388.35,20.98,23877.15,23951.7,24004.9,23870.3,23738.2,23753.45,23869.55,23647.2
INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA),EQ,IGIL,2024-12-13,2024-12-17,417,397,20,2024-12-20,4225.0,18021.06,20361.2,12.99,-32.02,2024-12-13,417.0,19.83,25.84,11.48,19.89,510.0,471.15,12.99,24498.35,24768.3,24792.3,24180.8,24584.8,24336.0,24624.1,24303.45
INVENTURUS KNOWLEDGE SOLUTIONS,EQ,IKS,2024-12-12,2024-12-16,1329,1265,64,2024-12-19,2497.92,22802.07,32355.27,41.9,-12.72,2024-12-12,1329.0,32.84,23.13,14.65,29.46,2095.0,1885.8,41.9,24604.45,24548.7,24675.25,24527.95,24753.4,24668.25,24781.25,24601.75
SAI LIFE SCIENCES,EQ,SAILIFE,2024-12-11,2024-12-13,549,522,27,2024-12-18,3042.62,11418.63,15903.92,39.28,17.62,2024-12-11,549.0,12.54,4.99,1.36,7.5,650.0,764.65,39.28,24620.5,24641.8,24691.75,24583.85,24498.35,24768.3,24792.3,24180.8
VISHAL MEGA MART,EQ,VMM,2024-12-11,2024-12-13,78,74,4,2024-12-18,8000.0,35168.01,50466.1,43.5,20.41,2024-12-11,78.0,34.65,14.96,2.44,20.42,104.0,111.93,43.5,24620.5,24641.8,24691.75,24583.85,24498.35,24768.3,24792.3,24180.8
ONE MOBIKWIK SYSTEMS,EQ,MOBIKWIK,2024-12-11,2024-12-13,279,265,14,2024-12-18,572.0,2167.45,4101.84,89.25,-55.02,2024-12-11,279.0,50.81,114.38,143.52,69.61,440.0,528.0,89.25,24620.5,24641.8,24691.75,24583.85,24498.35,24768.3,24792.3,24180.8
SURAKSHA DIAGNOSTIC,EQ,SURAKSHA,2024-11-29,2024-12-03,441,420,21,2024-12-06,846.25,2296.76,2296.76,0.0,-35.96,2024-11-29,441.0,1.31,1.39,0.88,1.17,438.0,441.0,0.0,23927.15,24131.1,24188.45,23927.15,24367.5,24457.15,24481.35,24280.0
ENVIRO INFRA ENGINEERS,EQ,EIEL,2024-11-22,2024-11-26,148,140,8,2024-11-29,650.3,2597.84,3634.7,39.91,-3.07,2024-11-22,148.0,63.5,152.57,23.86,62.85,220.0,207.07,39.91,23411.8,23907.25,23956.1,23359.0,24343.3,24194.5,24343.3,24125.4
ZINKA LOGISTICS SOLUTIONS,EQ,BLACKBUCK,2024-11-13,2024-11-18,273,259,14,2024-11-22,1114.72,4817.81,4591.92,-4.69,151.23,2024-11-13,273.0,1.53,0.23,1.6,1.34,279.05,260.2,-4.69,23822.45,23559.05,23873.6,23509.6,23605.3,23453.8,23606.8,23350.4
NIVA BUPA HEALTH INSURANCE COMPANY,EQ,NIVABUPA,2024-11-07,2024-11-11,74,70,4,2024-11-14,2200.0,13380.91,13380.91,0.0,1.86,2024-11-07,74.0,1.49,0.7,2.77,1.5,78.5,74.0,0.0,24489.6,24199.35,24503.35,24179.05,24087.25,24141.3,24336.8,24004.6
ACME SOLAR HOLDINGS,EQ,ACMESOLAR,2024-11-06,2024-11-08,289,275,14,2024-11-13,2900.0,17486.81,15317.6,-12.4,-9.81,2024-11-06,289.0,2.12,0.95,3.12,2.04,251.0,253.15,-12.4,24308.75,24484.05,24537.6,24204.05,24207.7,24148.2,24276.15,24066.65
SWIGGY,EQ,SWIGGY,2024-11-06,2024-11-08,390,371,19,2024-11-13,11327.43,87298.6,102072.21,16.92,-8.66,2024-11-06,390.0,3.01,0.39,1.06,2.42,420.0,456.0,16.92,24308.75,24484.05,24537.6,24204.05,24207.7,24148.2,24276.15,24066.65
SAGILITY INDIA,EQ,SAGILITY,2024-11-05,2024-11-07,30,28,2,2024-11-12,2106.4,14043.99,13725.65,-2.27,69.82,2024-11-05,30.0,2.04,1.88,3.98,2.2,31.06,29.32,-2.27,23916.5,24213.3,24229.05,23842.75,24489.6,24199.35,24503.35,24179.05
GODAVARI BIOREFINERIES,EQ,GODAVARIB,2024-10-23,2024-10-25,352,334,18,2024-10-30,554.75,1801.39,1756.36,-2.5,-26.15,2024-10-23,352.0,1.77,0.89,1.68,1.61,308.0,343.2,-2.5,24378.15,24435.5,24604.25,24378.1,24418.05,24180.8,24440.25,24073.9
DEEPAK BUILDERS & ENGINEERS INDIA,EQ,DBEIL,2024-10-21,2024-10-23,203,192,11,2024-10-28,260.04,945.59,754.38,-20.22,-26.4,2024-10-21,203.0,6.03,81.74,38.95,28.91,200.0,161.95,-20.22,24956.15,24781.1,24978.3,24679.6,24378.15,24435.5,24604.25,24378.1
WAAREE ENERGIES,EQ,WAAREEENER,2024-10-21,2024-10-23,1503,1427,76,2024-10-28,4321.44,43178.66,67192.67,55.62,27.41,2024-10-21,1503.0,86.51,64.65,11.06,55.98,2500.0,2338.9,55.62,24956.15,24781.1,24978.3,24679.6,24378.15,24435.5,24604.25,24378.1
HYUNDAI MOTOR INDIA,EQ,HYUNDAI,2024-10-15,2024-10-17,1960,1865,95,2024-10-22,27858.75,159258.06,147849.98,-7.16,28.72,2024-10-15,1960.0,3.4,0.57,0.44,1.93,1934.0,1819.6,-7.16,25186.3,25057.35,25212.05,25008.15,25027.4,24749.85,25029.5,24728.9
GARUDA CONSTRUCTION AND ENGINEERING,EQ,GARUDA,2024-10-08,2024-10-10,95,90,5,2024-10-15,264.1,883.9,989.59,11.96,90.49,2024-10-08,95.0,1.13,8.93,10.56,5.6,105.0,106.36,11.96,24832.2,25013.15,25044.0,24756.8,25067.05,24998.45,25134.05,24979.4
KRN HEAT EXCHANGER AND REFRIGERATION,EQ,KRN,2024-09-25,2024-09-27,220,209,11,2024-10-03,341.95,1309.95,2850.86,117.63,61.92,2024-09-25,220.0,102.4,428.12,101.07,151.95,480.0,478.79,117.63,25899.45,26004.15,26032.8,25871.35,26248.25,26178.95,26277.35,26151.4
ARKADE DEVELOPERS,EQ,ARKADE,2024-09-16,2024-09-19,128,121,7,2024-09-24,410.0,2376.41,3079.31,29.58,-13.69,2024-09-16,128.0,69.48,174.23,58.03,80.78,175.0,165.86,29.58,25406.65,25383.75,25445.7,25336.2,25487.05,25415.8,25611.95,25376.05
NORTHERN ARC CAPITAL,EQ,NORTHARC,2024-09-16,2024-09-19,263,249,14,2024-09-24,777.0,4242.86,5217.26,22.97,-19.62,2024-09-16,263.0,97.41,149.32,32.85,80.97,350.0,323.4,22.97,25406.65,25383.75,25445.7,25336.2,25487.05,25415.8,25611.95,25376.05
WESTERN CARRIERS (INDIA),EQ,WCIL,2024-09-13,2024-09-19,172,163,9,2024-09-24,492.88,1753.63,1625.57,-7.3,-23.91,2024-09-13,172.0,12.01,46.53,27.21,22.51,171.0,159.44,-7.3,25430.45,25356.5,25430.5,25292.45,25487.05,25415.8,25611.95,25376.05
P N GADGIL JEWELLERS,EQ,PNGJL,2024-09-10,2024-09-12,480,456,24,2024-09-17,1100.0,6514.0,10765.74,65.27,-23.21,2024-09-10,480.0,58.18,58.89,17.73,44.13,830.0,793.3,65.27,24999.4,25041.1,25130.5,24896.8,25059.65,25388.9,25433.35,24941.45
KROSS,EQ,KROSS,2024-09-09,2024-09-11,240,228,12,2024-09-16,500.0,1548.23,1676.02,8.25,-31.62,2024-09-09,240.0,10.44,23.36,11.48,12.74,240.0,259.81,8.25,24823.4,24936.4,24957.5,24753.15,25034.0,24918.45,25113.7,24885.15
BAJAJ HOUSING FINANCE,EQ,BAJAJHFL,2024-09-09,2024-09-11,70,66,4,2024-09-16,6560.0,58297.03,137414.42,135.71,-42.04,2024-09-09,70.0,89.67,42.85,7.54,49.63,150.0,165.0,135.71,24823.4,24936.4,24957.5,24753.15,25034.0,24918.45,25113.7,24885.15
BAAZAR STYLE RETAIL,EQ,STYLEBAAZA,2024-08-30,2024-09-03,389,370,19,2024-09-06,834.68,2902.55,2984.62,2.83,-31.19,2024-08-30,389.0,33.32,59.53,9.36,28.83,389.0,400.0,2.83,25249.7,25235.9,25268.35,25199.4,25313.4,25279.85,25321.7,25235.8
ECOS (INDIA) MOBILITY & HOSPITALITY,EQ,ECOSMOBLTY,2024-08-28,2024-08-30,334,318,16,2024-09-04,601.2,2004.0,2658.9,32.68,-48.14,2024-08-28,334.0,55.38,70.23,19.31,44.98,390.0,443.15,32.68,25030.8,25052.35,25129.6,24964.65,25249.7,25235.9,25268.35,25199.4
PREMIER ENERGIES,EQ,PREMIERENE,2024-08-27,2024-08-29,450,427,23,2024-09-03,2830.4,20284.33,37859.58,86.64,9.45,2024-08-27,450.0,85.49,50.73,7.59,52.82,990.0,839.9,86.64,25024.8,25017.75,25073.1,24973.65,25035.3,25151.95,25192.9,24998.5
INTERARCH BUILDING PRODUCTS,EQ,INTERARCH,2024-08-19,2024-08-21,900,850,50,2024-08-26,600.29,1497.43,1990.67,32.94,99.32,2024-08-19,900.0,79.44,127.48,20.4,65.75,1220.0,1196.45,32.94,24636.35,24572.65,24638.8,24522.95,24680.55,24770.2,24787.95,24654.5
BRAINBEES SOLUTIONS,EQ,FIRSTCRY,2024-08-06,2024-08-08,465,440,25,2024-08-13,4193.73,24141.75,35257.34,46.04,-57.22,2024-08-06,465.0,8.32,4.69,2.38,7.17,651.0,679.1,46.04,24189.85,23992.55,24382.6,23960.4,24248.55,24117.0,24340.5,24079.7
UNICOMMERCE ESOLUTIONS,EQ,UNIECOM,2024-08-06,2024-08-08,108,102,6,2024-08-13,276.57,1106.29,2151.93,94.52,-43.23,2024-08-06,108.0,55.83,254.2,136.56,93.66,235.0,210.08,94.52,24189.85,23992.55,24382.6,23960.4,24248.55,24117.0,24340.5,24079.7
OLA ELECTRIC MOBILITY,EQ,OLAELEC,2024-08-02,2024-08-06,76,72,4,2024-08-09,6145.56,33521.75,40226.1,20.0,-59.77,2024-08-02,76.0,2.84,2.2,3.86,2.85,76.0,91.2,20.0,24789.0,24717.7,24851.9,24686.85,24189.85,23992.55,24382.6,23960.4
CEIGALL INDIA,EQ,CEIGALL,2024-08-01,2024-08-05,401,380,21,2024-08-08,1252.66,6985.41,6737.17,-3.55,-39.31,2024-08-01,401.0,13.13,14.85,3.89,10.14,419.0,386.75,-3.55,25030.95,25010.9,25078.3,24956.4,24302.85,24055.6,24350.05,23893.7
AKUMS DRUGS AND PHARMACEUTICALS,EQ,AKUMS,2024-07-30,2024-08-01,679,646,33,2024-08-06,1856.74,10685.49,12530.67,17.27,-46.87,2024-07-30,679.0,36.57,42.15,21.02,35.54,725.0,796.25,17.27,24839.4,24857.3,24971.75,24798.65,25030.95,25010.9,25078.3,24956.4
SANSTAR,EQ,SANSTAR,2024-07-19,2024-07-23,95,90,5,2024-07-26,510.15,1731.32,2097.08,21.13,-19.27,2024-07-19,95.0,58.84,135.23,23.54,57.94,109.0,115.07,21.13,24853.8,24530.9,24854.8,24508.15,24568.9,24479.05,24582.55,24074.2
BANSAL WIRE INDUSTRIES,EQ,BANSALWIRE,2024-07-03,2024-07-05,256,243,13,2024-07-10,745.0,4007.83,5484.94,36.86,-8.79,2024-07-03,256.0,62.01,54.16,14.16,44.08,356.0,350.35,36.86,24291.75,24286.5,24309.15,24207.1,24213.35,24323.85,24363.0,24168.85
EMCURE PHARMACEUTICALS,EQ,EMCURE,2024-07-03,2024-07-05,1008,960,48,2024-07-10,1952.03,19029.89,25659.21,34.84,5.85,2024-07-03,1008.0,76.95,49.21,7.23,48.13,1325.05,1359.15,34.84,24291.75,24286.5,24309.15,24207.1,24213.35,24323.85,24363.0,24168.85
ALLIED BLENDERS AND DISTILLERS,EQ,ABDL,2024-06-25,2024-06-27,281,267,14,2024-07-02,1500.0,7859.59,8891.69,13.13,96.54,2024-06-25,281.0,21.76,34.06,4.73,17.61,320.0,317.9,13.13,23577.1,23721.3,23754.15,23562.05,23881.55,24044.5,24087.45,23805.4
STANLEY LIFESTYLES,EQ,STANLEY,2024-06-21,2024-06-25,369,351,18,2024-06-28,537.02,2103.94,2706.89,28.66,-52.71,2024-06-21,369.0,86.67,121.66,19.27,68.33,494.95,474.75,28.66,23661.15,23501.1,23667.1,23398.2,23577.1,23721.3,23754.15,23562.05
DEE DEVELOPMENT ENGINEERS,EQ,DEEDEV,2024-06-19,2024-06-21,203,193,10,2024-06-26,418.01,1401.69,2315.35,65.18,-35.13,2024-06-19,203.0,83.87,147.1,24.89,72.53,339.0,335.32,65.18,23629.85,23516.0,23664.0,23412.9,23661.15,23501.1,23667.1,23398.2
LE TRAVENUES TECHNOLOGY,EQ,IXIGO,2024-06-10,2024-06-12,93,88,5,2024-06-18,740.1,3603.04,6420.38,78.19,54.51,2024-06-10,93.0,43.1,110.89,54.44,54.4,138.1,165.72,78.19,23319.15,23259.2,23411.9,23227.15,23344.45,23322.95,23441.95,23295.95
KRONOX LAB SCIENCES,EQ,KRONOX,2024-06-03,2024-06-05,136,129,7,2024-06-10,130.15,504.61,561.57,11.29,-6.22,2024-06-03,136.0,35.53,304.26,54.9,82.62,151.35,151.35,11.29,23337.9,23263.9,23338.7,23062.3,22128.35,22620.35,22670.4,21791.95
AWFIS SPACE SOLUTIONS,EQ,AWFIS,2024-05-22,2024-05-27,383,364,19,2024-05-30,598.93,2658.7,2797.19,5.21,22.62,2024-05-22,383.0,47.18,130.09,53.74,60.05,421.0,402.95,5.21,22576.6,22597.8,22629.5,22483.15,23038.95,22932.45,23110.8,22871.2
GO DIGIT GENERAL INSURANCE,EQ,GODIGIT,2024-05-15,2024-05-17,272,258,14,2024-05-23,2614.65,24947.9,28066.39,12.5,11.76,2024-05-15,272.0,5.61,7.23,4.08,5.7,286.0,306.0,12.5,22255.6,22200.55,22297.55,22151.75,22415.25,22466.1,22502.15,22345.65
TBO TEK,EQ,TBOTEK,2024-05-08,2024-05-10,920,875,45,2024-05-15,1550.81,9990.08,15270.7,52.86,17.98,2024-05-08,920.0,50.73,50.59,25.94,48.14,1426.0,1406.3,52.86,22231.2,22302.5,22368.65,22185.2,21990.95,22055.2,22131.3,21950.3
AADHAR HOUSING FINANCE,EQ,AADHARHFC,2024-05-08,2024-05-10,315,300,15,2024-05-15,3000.0,13434.78,14051.08,4.59,48.4,2024-05-08,315.0,31.13,17.31,2.52,19.0,315.0,329.45,4.59,22231.2,22302.5,22368.65,22185.2,21990.95,22055.2,22131.3,21950.3
INDEGENE,EQ,INDGN,2024-05-06,2024-05-08,452,430,22,2024-05-13,1841.76,10814.07,13658.74,26.31,-7.79,2024-05-06,452.0,77.5,56.44,8.25,49.75,655.0,570.9,26.31,22561.6,22442.7,22588.8,22409.45,22231.2,22302.5,22368.65,22185.2
JNK INDIA,EQ,JNKINDIA,2024-04-23,2024-04-25,415,395,20,2024-04-30,649.47,2323.46,3888.57,67.36,-66.22,2024-04-23,415.0,31.58,19.92,4.17,20.24,621.0,694.55,67.36,22447.05,22368.0,22447.55,22349.45,22316.9,22570.35,22625.95,22305.25
BHARTI HEXACOM,EQ,BHARTIHEXA,2024-04-03,2024-04-05,570,542,28,2024-04-12,4275.0,28500.0,40665.0,42.68,106.98,2024-04-03,570.0,20.07,10.28,2.74,16.87,755.0,813.3,42.68,22385.7,22434.65,22521.1,22346.5,22486.4,22513.7,22537.6,22427.6
KRYSTAL INTEGRATED SERVICES,EQ,KRYSTAL,2024-03-14,2024-03-18,715,680,35,2024-03-21,300.12,998.99,995.99,-0.3,-27.17,2024-03-14,715.0,3.54,45.38,3.32,9.74,785.0,712.85,-0.3,21982.55,22146.65,22204.6,21917.5,21990.1,22055.7,22123.7,21916.55
POPULAR VEHICLES AND SERVICES,EQ,PVSL,2024-03-12,2024-03-14,295,280,15,2024-03-19,601.55,2100.39,1966.18,-6.39,-55.14,2024-03-12,295.0,1.52,0.66,1.03,1.22,289.2,276.15,-6.39,22334.45,22335.7,22452.55,22256.0,21982.55,22146.65,22204.6,21917.5
GOPAL SNACKS,EQ,GOPAL,2024-03-06,2024-03-11,401,381,20,2024-03-14,650.0,4996.64,4519.4,-9.55,-13.48,2024-03-06,401.0,7.99,9.95,4.08,6.88,351.0,362.7,-9.55,22327.5,22474.05,22497.2,22224.35,22517.5,22332.65,22526.6,22307.25
J G CHEMICALS,EQ,JGCHEM,2024-03-05,2024-03-07,221,210,11,2024-03-13,251.19,866.01,724.16,-16.38,98.76,2024-03-05,221.0,13.41,47.72,17.59,20.02,209.0,184.8,-16.38,22371.25,22356.3,22416.9,22269.15,22505.3,22493.55,22525.65,22430.0
R K SWAMY,EQ,RKSWAMY,2024-03-04,2024-03-06,288,270,18,2024-03-12,423.56,1453.37,1325.19,-8.82,-56.66,2024-03-04,288.0,8.85,34.16,33.33,14.81,250.0,262.6,-8.82,22403.5,22405.6,22440.9,22358.3,22327.5,22474.05,22497.2,22224.35
EXICOM TELESYSTEMS,EQ,EXICOM,2024-02-27,2024-02-29,142,135,7,2024-03-05,429.0,1715.71,2717.95,58.42,-50.56,2024-02-27,142.0,56.23,158.82,121.61,78.16,265.0,224.95,58.42,22090.2,22198.35,22218.25,22085.65,21935.2,21982.8,22060.55,21860.65
GPT HEALTHCARE,EQ,GPTHEALTH,2024-02-22,2024-02-26,186,177,9,2024-02-29,525.14,1526.22,1646.84,7.9,-30.37,2024-02-22,186.0,7.57,11.03,2.35,6.26,215.0,200.7,7.9,22081.55,22217.45,22252.5,21875.25,22169.2,22122.05,22202.15,22075.15
JUNIPER HOTELS,EQ,JUNIPER,2024-02-21,2024-02-23,360,342,18,2024-02-28,1800.0,8010.09,8933.47,11.53,-34.9,2024-02-21,360.0,1.9,0.88,1.29,1.68,365.0,401.5,11.53,22248.85,22055.05,22249.4,21997.95,22290.0,22212.7,22297.5,22186.1
ENTERO HEALTHCARE SOLUTIONS,EQ,ENTERO,2024-02-09,2024-02-13,1258,1195,63,2024-02-16,1600.0,5978.88,5463.45,-8.62,-13.32,2024-02-09,1258.0,1.53,0.21,1.32,1.31,1228.7,1149.55,-8.62,21727.0,21782.5,21804.45,21629.9,21664.3,21743.25,21766.8,21543.35
RASHI PERIPHERALS,EQ,RPTECH,2024-02-07,2024-02-09,311,295,16,2024-02-14,600.0,2049.48,2118.67,3.38,7.23,2024-02-07,311.0,61.02,65.97,10.98,44.25,339.5,321.5,3.38,22045.05,21930.5,22053.3,21860.15,21727.0,21782.5,21804.45,21629.9
JANA SMALL FINANCE BANK,EQ,JSFB,2024-02-07,2024-02-09,414,393,21,2024-02-14,570.0,4330.04,3850.49,-11.07,17.91,2024-02-07,414.0,16.59,26.18,5.81,13.94,396.0,368.15,-11.07,22045.05,21930.5,22053.3,21860.15,21727.0,21782.5,21804.45,21629.9
CAPITAL SMALL FINANCE BANK,EQ,CAPITALSFB,2024-02-07,2024-02-09,468,445,23,2024-02-14,523.07,2104.41,1956.02,-7.05,-39.61,2024-02-07,468.0,3.4,4.11,2.62,3.23,430.25,435.0,-7.05,22045.05,21930.5,22053.3,21860.15,21727.0,21782.5,21804.45,21629.9
APEEJAY SURRENDRA PARK HOTELS,EQ,PARKHOTELS,2024-02-05,2024-02-07,155,147,8,2024-02-12,920.0,3307.26,4343.18,31.32,-35.13,2024-02-05,155.0,32.47,54.14,31.25,35.19,186.0,203.55,31.32,21921.05,21771.7,21964.3,21726.95,22045.05,21930.5,22053.3,21860.15
BLS E- SERVICES,EQ,BLSE,2024-01-30,2024-02-01,135,129,6,2024-02-06,309.29,1211.71,3285.09,171.11,-40.64,2024-01-30,135.0,49.54,298.02,226.49,94.98,305.0,366.0,171.11,21775.75,21522.1,21813.05,21501.8,21780.65,21697.45,21832.95,21658.75
EPACK DURABLE,EQ,EPACK,2024-01-19,2024-01-24,230,218,12,2024-01-30,640.05,2203.37,1988.78,-9.74,23.07,2024-01-19,230.0,10.89,29.06,6.44,12.06,221.0,207.6,-9.74,21615.2,21622.4,21670.6,21575.0,21185.25,21453.95,21482.35,21137.2
MEDI ASSIST HEALTHCARE SERVICES,EQ,MEDIASSIST,2024-01-15,2024-01-17,418,397,21,2024-01-23,1171.58,2878.32,3195.76,11.03,1.11,2024-01-15,418.0,16.68,14.76,3.07,11.63,460.0,464.1,11.03,22053.15,22097.45,22115.55,21963.55,21647.25,21571.95,21851.5,21550.45
JYOTI CNC AUTOMATION,EQ,JYOTICNC,2024-01-09,2024-01-11,331,315,16,2024-01-16,1000.0,7527.47,9874.4,31.18,120.57,2024-01-09,331.0,19.08,38.31,26.48,22.59,370.0,434.2,31.18,21653.6,21544.85,21724.45,21517.85,21688.0,21647.2,21726.5,21593.75
INNOVA CAPTAB,EQ,INNOVACAP,2023-12-21,2023-12-26,448,426,22,2023-12-29,570.0,2563.68,3098.16,20.85,33.25,2023-12-21,448.0,46.93,65.01,17.02,39.17,452.1,541.4,20.85,21033.95,21255.05,21288.35,20976.8,21365.2,21441.35,21477.15,21329.45
AZAD ENGINEERING,EQ,AZAD,2023-12-20,2023-12-22,524,499,25,2023-12-28,740.0,3097.52,4004.91,29.29,137.33,2023-12-20,524.0,72.25,90.49,23.95,57.77,720.0,677.5,29.29,21543.5,21150.15,21593.0,21087.35,21295.85,21349.4,21390.5,21232.45
CREDO BRANDS MARKETING,EQ,MUFTI,2023-12-19,2023-12-21,280,266,14,2023-12-27,549.78,1800.45,2007.5,11.5,-68.62,2023-12-19,280.0,43.39,52.27,19.47,36.35,282.35,312.2,11.5,21477.65,21453.1,21505.05,21337.75,21033.95,21255.05,21288.35,20976.8
